title,vendor,inventory_policy,inventory_available,created_at,meta,objectID,curators_product,soldout,maxdeltime,mindeltime
"Turned Wood Twist Lamp, 1960s",Barracuda Interiors,deny,True,2024-10-09T12:54:29.000Z,{'custom': {'soldout': False}},48527943565577,False,False,-1,-1
"Tripod Floor Lamp, 1960s",Barracuda Interiors,deny,True,2024-10-09T12:54:26.000Z,{'custom': {'soldout': False}},48527943434505,False,False,-1,-1
"Golden Iron Table Lamp, 1960s",Barracuda Interiors,deny,True,2024-10-09T12:54:23.000Z,{'custom': {'soldout': False}},48527943106825,False,False,-1,-1
"Neoclassical Floor Lamp, 1960s",Barracuda Interiors,deny,True,2024-10-09T12:54:21.000Z,{'custom': {'soldout': False}},48527942975753,False,False,-1,-1
"Arts Deco Iron Floor Lamp, 1930s",Barracuda Interiors,deny,True,2024-10-09T12:54:18.000Z,{'custom': {'soldout': False}},48527942713609,False,False,-1,-1
"Pair of Neoclassical Iron Chairs, 1960s",Barracuda Interiors,deny,True,2024-10-09T10:42:21.000Z,{'custom': {'soldout': False}},48527416525065,False,False,-1,-1
"Pair of Wood Chairs, 1950s",Barracuda Interiors,deny,True,2024-10-09T10:42:15.000Z,{'custom': {'soldout': False}},48527416262921,False,False,-1,-1
"Pair of Iron And Straw Chairs, 1980s",Barracuda Interiors,deny,True,2024-10-09T10:42:04.000Z,{'custom': {'soldout': False}},48527415050505,False,False,-1,-1
"Pair of Black Wooden Pedestal, 1960s",Barracuda Interiors,deny,True,2024-10-09T10:42:00.000Z,{'custom': {'soldout': False}},48527414788361,False,False,-1,-1
"Pair of Square Coffee Tables, 1970s",Barracuda Interiors,deny,True,2024-10-09T10:41:56.000Z,{'custom': {'soldout': False}},48527414624521,False,False,-1,-1
"Fabric And Caning Armchair, 1950s",Barracuda Interiors,deny,True,2024-10-09T10:41:51.000Z,{'custom': {'soldout': False}},48527414558985,False,False,-1,-1
"Pair of Ribbon Iron Wall Sconces, 1950s",Barracuda Interiors,deny,True,2024-10-09T10:41:48.000Z,{'custom': {'soldout': False}},48527414493449,False,False,-1,-1
